Varste si grupe de varsta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
5- 9 ani, Ilfov, Anul 1992, Numar persoane, 4
5- 9 ani, Ilfov, Anul 1994, Numar persoane, 8
5- 9 ani, Ilfov, Anul 1995, Numar persoane, 16
5- 9 ani, Ilfov, Anul 1996, Numar persoane, 9
5- 9 ani, Ilfov, Anul 1997, Numar persoane, 3
5- 9 ani, Ilfov, Anul 1998, Numar persoane, 4
5- 9 ani, Ilfov, Anul 1999, Numar persoane, 2
5- 9 ani, Ilfov, Anul 2000, Numar persoane, 1
5- 9 ani, Ilfov, Anul 2001, Numar persoane, 3
5- 9 ani, Ilfov, Anul 2003, Numar persoane, 3
5- 9 ani, Ilfov, Anul 2004, Numar persoane, 4
5- 9 ani, Ilfov, Anul 2008, Numar persoane, 1
5- 9 ani, Ilfov, Anul 2009, Numar persoane, 3
5- 9 ani, Ilfov, Anul 2011, Numar persoane, 5
5- 9 ani, Ilfov, Anul 2012, Numar persoane, 3
5- 9 ani, Ilfov, Anul 2013, Numar persoane, 4
5- 9 ani, Ilfov, Anul 2014, Numar persoane, 11
5- 9 ani, Ilfov, Anul 2015, Numar persoane, 16
5- 9 ani, Ilfov, Anul 2016, Numar persoane, 17
5- 9 ani, Ilfov, Anul 2017, Numar persoane, 22
5- 9 ani, Ilfov, Anul 2018, Numar persoane, 20
5- 9 ani, Ilfov, Anul 2019, Numar persoane, 16
5- 9 ani, Ilfov, Anul 2020, Numar persoane, 19
5- 9 ani, Ilfov, Anul 2021, Numar persoane, 20
5- 9 ani, Ilfov, Anul 2022, Numar persoane, 47
5- 9 ani, Municipiul Bucuresti, Anul 1992, Numar persoane, 195
5- 9 ani, Municipiul Bucuresti, Anul 1993, Numar persoane, 185
5- 9 ani, Municipiul Bucuresti, Anul 1994, Numar persoane, 322
5- 9 ani, Municipiul Bucuresti, Anul 1995, Numar persoane, 302
5- 9 ani, Municipiul Bucuresti, Anul 1996, Numar persoane, 261
5- 9 ani, Municipiul Bucuresti, Anul 1997, Numar persoane, 158
5- 9 ani, Municipiul Bucuresti, Anul 1998, Numar persoane, 789
5- 9 ani, Municipiul Bucuresti, Anul 1999, Numar persoane, 359
5- 9 ani, Municipiul Bucuresti, Anul 2000, Numar persoane, 86
5- 9 ani, Municipiul Bucuresti, Anul 2001, Numar persoane, 80
5- 9 ani, Municipiul Bucuresti, Anul 2002, Numar persoane, 57
5- 9 ani, Municipiul Bucuresti, Anul 2003, Numar persoane, 81
5- 9 ani, Municipiul Bucuresti, Anul 2004, Numar persoane, 52
5- 9 ani, Municipiul Bucuresti, Anul 2005, Numar persoane, 37
5- 9 ani, Municipiul Bucuresti, Anul 2006, Numar persoane, 36
5- 9 ani, Municipiul Bucuresti, Anul 2007, Numar persoane, 54
5- 9 ani, Municipiul Bucuresti, Anul 2008, Numar persoane, 66
5- 9 ani, Municipiul Bucuresti, Anul 2009, Numar persoane, 78
5- 9 ani, Municipiul Bucuresti, Anul 2010, Numar persoane, 40
5- 9 ani, Municipiul Bucuresti, Anul 2011, Numar persoane, 330
5- 9 ani, Municipiul Bucuresti, Anul 2012, Numar persoane, 331
5- 9 ani, Municipiul Bucuresti, Anul 2013, Numar persoane, 360
5- 9 ani, Municipiul Bucuresti, Anul 2014, Numar persoane, 114
5- 9 ani, Municipiul Bucuresti, Anul 2015, Numar persoane, 106
5- 9 ani, Municipiul Bucuresti, Anul 2016, Numar persoane, 174
5- 9 ani, Municipiul Bucuresti, Anul 2017, Numar persoane, 203
5- 9 ani, Municipiul Bucuresti, Anul 2018, Numar persoane, 244
5- 9 ani, Municipiul Bucuresti, Anul 2019, Numar persoane, 240
5- 9 ani, Municipiul Bucuresti, Anul 2020, Numar persoane, 175
5- 9 ani, Municipiul Bucuresti, Anul 2021, Numar persoane, 351
5- 9 ani, Municipiul Bucuresti, Anul 2022, Numar persoane, 514
5- 9 ani, Dolj, Anul 1992, Numar persoane, 6
5- 9 ani, Dolj, Anul 1993, Numar persoane, 10
5- 9 ani, Dolj, Anul 1994, Numar persoane, 11
5- 9 ani, Dolj, Anul 1995, Numar persoane, 30
5- 9 ani, Dolj, Anul 1996, Numar persoane, 19
5- 9 ani, Dolj, Anul 1997, Numar persoane, 22
5- 9 ani, Dolj, Anul 1998, Numar persoane, 18
5- 9 ani, Dolj, Anul 1999, Numar persoane, 12
5- 9 ani, Dolj, Anul 2000, Numar persoane, 13
5- 9 ani, Dolj, Anul 2001, Numar persoane, 6
5- 9 ani, Dolj, Anul 2002, Numar persoane, 5
5- 9 ani, Dolj, Anul 2003, Numar persoane, 8
5- 9 ani, Dolj, Anul 2004, Numar persoane, 12
5- 9 ani, Dolj, Anul 2005, Numar persoane, 10
5- 9 ani, Dolj, Anul 2006, Numar persoane, 11
5- 9 ani, Dolj, Anul 2007, Numar persoane, 6
5- 9 ani, Dolj, Anul 2008, Numar persoane, 10
5- 9 ani, Dolj, Anul 2009, Numar persoane, 13
5- 9 ani, Dolj, Anul 2010, Numar persoane, 12
5- 9 ani, Dolj, Anul 2011, Numar persoane, 22
5- 9 ani, Dolj, Anul 2012, Numar persoane, 13
5- 9 ani, Dolj, Anul 2013, Numar persoane, 14
5- 9 ani, Dolj, Anul 2014, Numar persoane, 16
5- 9 ani, Dolj, Anul 2015, Numar persoane, 13
5- 9 ani, Dolj, Anul 2016, Numar persoane, 32
5- 9 ani, Dolj, Anul 2017, Numar persoane, 24
5- 9 ani, Dolj, Anul 2018, Numar persoane, 19
5- 9 ani, Dolj, Anul 2019, Numar persoane, 23
5- 9 ani, Dolj, Anul 2020, Numar persoane, 18
5- 9 ani, Dolj, Anul 2021, Numar persoane, 36
5- 9 ani, Dolj, Anul 2022, Numar persoane, 32
5- 9 ani, Gorj, Anul 1993, Numar persoane, 1
5- 9 ani, Gorj, Anul 1994, Numar persoane, 3
5- 9 ani, Gorj, Anul 1995, Numar persoane, 5
5- 9 ani, Gorj, Anul 1996, Numar persoane, 2
5- 9 ani, Gorj, Anul 1997, Numar persoane, 2
5- 9 ani, Gorj, Anul 1998, Numar persoane, 3
5- 9 ani, Gorj, Anul 1999, Numar persoane, 4
5- 9 ani, Gorj, Anul 2000, Numar persoane, 4
5- 9 ani, Gorj, Anul 2001, Numar persoane, 2
5- 9 ani, Gorj, Anul 2002, Numar persoane, 3
5- 9 ani, Gorj, Anul 2007, Numar persoane, 2
5- 9 ani, Gorj, Anul 2008, Numar persoane, 1
5- 9 ani, Gorj, Anul 2010, Numar persoane, 1
5- 9 ani, Gorj, Anul 2011, Numar persoane, 4
5- 9 ani, Gorj, Anul 2012, Numar persoane, 3
5- 9 ani, Gorj, Anul 2013, Numar persoane, 5
5- 9 ani, Gorj, Anul 2014, Numar persoane, 1
5- 9 ani, Gorj, Anul 2015, Numar persoane, 9
5- 9 ani, Gorj, Anul 2016, Numar persoane, 2
5- 9 ani, Gorj, Anul 2017, Numar persoane, 7
5- 9 ani, Gorj, Anul 2018, Numar persoane, 10
5- 9 ani, Gorj, Anul 2019, Numar persoane, 13
5- 9 ani, Gorj, Anul 2020, Numar persoane, 7
5- 9 ani, Gorj, Anul 2021, Numar persoane, 15
5- 9 ani, Gorj, Anul 2022, Numar persoane, 20
5- 9 ani, Mehedinti, Anul 1992, Numar persoane, 1
5- 9 ani, Mehedinti, Anul 1993, Numar persoane, 1
5- 9 ani, Mehedinti, Anul 1994, Numar persoane, 6
5- 9 ani, Mehedinti, Anul 1995, Numar persoane, 3
5- 9 ani, Mehedinti, Anul 1996, Numar persoane, 5
5- 9 ani, Mehedinti, Anul 1997, Numar persoane, 8
5- 9 ani, Mehedinti, Anul 1998, Numar persoane, 5
5- 9 ani, Mehedinti, Anul 1999, Numar persoane, 8
5- 9 ani, Mehedinti, Anul 2000, Numar persoane, 16
5- 9 ani, Mehedinti, Anul 2001, Numar persoane, 3
5- 9 ani, Mehedinti, Anul 2002, Numar persoane, 1
5- 9 ani, Mehedinti, Anul 2004, Numar persoane, 1
5- 9 ani, Mehedinti, Anul 2006, Numar persoane, 3
5- 9 ani, Mehedinti, Anul 2007, Numar persoane, 1
5- 9 ani, Mehedinti, Anul 2008, Numar persoane, 4
5- 9 ani, Mehedinti, Anul 2009, Numar persoane, 1
5- 9 ani, Mehedinti, Anul 2011, Numar persoane, 9
5- 9 ani, Mehedinti, Anul 2012, Numar persoane, 4
5- 9 ani, Mehedinti, Anul 2013, Numar persoane, 4
5- 9 ani, Mehedinti, Anul 2014, Numar persoane, 8
5- 9 ani, Mehedinti, Anul 2015, Numar persoane, 6
5- 9 ani, Mehedinti, Anul 2016, Numar persoane, 7
5- 9 ani, Mehedinti, Anul 2017, Numar persoane, 7
5- 9 ani, Mehedinti, Anul 2018, Numar persoane, 9
5- 9 ani, Mehedinti, Anul 2019, Numar persoane, 9
5- 9 ani, Mehedinti, Anul 2020, Numar persoane, 5
5- 9 ani, Mehedinti, Anul 2021, Numar persoane, 18
5- 9 ani, Mehedinti, Anul 2022, Numar persoane, 22
5- 9 ani, Olt, Anul 1992, Numar persoane, 4
5- 9 ani, Olt, Anul 1993, Numar persoane, 1
5- 9 ani, Olt, Anul 1994, Numar persoane, 2
5- 9 ani, Olt, Anul 1995, Numar persoane, 5
5- 9 ani, Olt, Anul 1996, Numar persoane, 2
5- 9 ani, Olt, Anul 1997, Numar persoane, 3
5- 9 ani, Olt, Anul 1998, Numar persoane, 7
5- 9 ani, Olt, Anul 1999, Numar persoane, 2
5- 9 ani, Olt, Anul 2000, Numar persoane, 4
5- 9 ani, Olt, Anul 2001, Numar persoane, 2
5- 9 ani, Olt, Anul 2003, Numar persoane, 3
5- 9 ani, Olt, Anul 2004, Numar persoane, 1
5- 9 ani, Olt, Anul 2005, Numar persoane, 1
5- 9 ani, Olt, Anul 2008, Numar persoane, 3
5- 9 ani, Olt, Anul 2009, Numar persoane, 1
5- 9 ani, Olt, Anul 2010, Numar persoane, 1
5- 9 ani, Olt, Anul 2011, Numar persoane, 5
5- 9 ani, Olt, Anul 2012, Numar persoane, 12
5- 9 ani, Olt, Anul 2013, Numar persoane, 5
5- 9 ani, Olt, Anul 2014, Numar persoane, 10
5- 9 ani, Olt, Anul 2015, Numar persoane, 6
5- 9 ani, Olt, Anul 2016, Numar persoane, 6
5- 9 ani, Olt, Anul 2017, Numar persoane, 12
5- 9 ani, Olt, Anul 2018, Numar persoane, 14
5- 9 ani, Olt, Anul 2019, Numar persoane, 9
5- 9 ani, Olt, Anul 2020, Numar persoane, 6
5- 9 ani, Olt, Anul 2021, Numar persoane, 24
5- 9 ani, Olt, Anul 2022, Numar persoane, 18
5- 9 ani, Valcea, Anul 1992, Numar persoane, 6
5- 9 ani, Valcea, Anul 1993, Numar persoane, 1
5- 9 ani, Valcea, Anul 1994, Numar persoane, 3
5- 9 ani, Valcea, Anul 1995, Numar persoane, 2
5- 9 ani, Valcea, Anul 1996, Numar persoane, 7
5- 9 ani, Valcea, Anul 1997, Numar persoane, 3
5- 9 ani, Valcea, Anul 1998, Numar persoane, 10
5- 9 ani, Valcea, Anul 1999, Numar persoane, 16
5- 9 ani, Valcea, Anul 2000, Numar persoane, 21
5- 9 ani, Valcea, Anul 2001, Numar persoane, 10
5- 9 ani, Valcea, Anul 2002, Numar persoane, 6
5- 9 ani, Valcea, Anul 2003, Numar persoane, 3
5- 9 ani, Valcea, Anul 2004, Numar persoane, 1
5- 9 ani, Valcea, Anul 2005, Numar persoane, 2
5- 9 ani, Valcea, Anul 2006, Numar persoane, 4
5- 9 ani, Valcea, Anul 2007, Numar persoane, 3
5- 9 ani, Valcea, Anul 2008, Numar persoane, 2
5- 9 ani, Valcea, Anul 2009, Numar persoane, 9
5- 9 ani, Valcea, Anul 2010, Numar persoane, 2
5- 9 ani, Valcea, Anul 2011, Numar persoane, 11
5- 9 ani, Valcea, Anul 2012, Numar persoane, 14
5- 9 ani, Valcea, Anul 2013, Numar persoane, 5
5- 9 ani, Valcea, Anul 2014, Numar persoane, 5
5- 9 ani, Valcea, Anul 2015, Numar persoane, 6
5- 9 ani, Valcea, Anul 2016, Numar persoane, 16
5- 9 ani, Valcea, Anul 2017, Numar persoane, 8
5- 9 ani, Valcea, Anul 2018, Numar persoane, 11
5- 9 ani, Valcea, Anul 2019, Numar persoane, 17
5- 9 ani, Valcea, Anul 2020, Numar persoane, 11
5- 9 ani, Valcea, Anul 2021, Numar persoane, 11
5- 9 ani, Valcea, Anul 2022, Numar persoane, 13
5- 9 ani, Arad, Anul 1992, Numar persoane, 54
5- 9 ani, Arad, Anul 1993, Numar persoane, 134
5- 9 ani, Arad, Anul 1994, Numar persoane, 61
5- 9 ani, Arad, Anul 1995, Numar persoane, 77
5- 9 ani, Arad, Anul 1996, Numar persoane, 36
5- 9 ani, Arad, Anul 1997, Numar persoane, 59
5- 9 ani, Arad, Anul 1998, Numar persoane, 28
5- 9 ani, Arad, Anul 1999, Numar persoane, 22
5- 9 ani, Arad, Anul 2000, Numar persoane, 30
5- 9 ani, Arad, Anul 2001, Numar persoane, 16
5- 9 ani, Arad, Anul 2002, Numar persoane, 7
5- 9 ani, Arad, Anul 2003, Numar persoane, 14
5- 9 ani, Arad, Anul 2004, Numar persoane, 11
5- 9 ani, Arad, Anul 2005, Numar persoane, 9
5- 9 ani, Arad, Anul 2006, Numar persoane, 8
5- 9 ani, Arad, Anul 2007, Numar persoane, 8
5- 9 ani, Arad, Anul 2008, Numar persoane, 4
5- 9 ani, Arad, Anul 2009, Numar persoane, 10
5- 9 ani, Arad, Anul 2010, Numar persoane, 10
5- 9 ani, Arad, Anul 2011, Numar persoane, 25
5- 9 ani, Arad, Anul 2012, Numar persoane, 31
5- 9 ani, Arad, Anul 2013, Numar persoane, 19
5- 9 ani, Arad, Anul 2014, Numar persoane, 14
5- 9 ani, Arad, Anul 2015, Numar persoane, 17
5- 9 ani, Arad, Anul 2016, Numar persoane, 24
5- 9 ani, Arad, Anul 2017, Numar persoane, 28
5- 9 ani, Arad, Anul 2018, Numar persoane, 29
5- 9 ani, Arad, Anul 2019, Numar persoane, 19
5- 9 ani, Arad, Anul 2020, Numar persoane, 32
5- 9 ani, Arad, Anul 2021, Numar persoane, 38
5- 9 ani, Arad, Anul 2022, Numar persoane, 67
5- 9 ani, Caras-Severin, Anul 1992, Numar persoane, 46
5- 9 ani, Caras-Severin, Anul 1993, Numar persoane, 43
5- 9 ani, Caras-Severin, Anul 1994, Numar persoane, 49
5- 9 ani, Caras-Severin, Anul 1995, Numar persoane, 63
5- 9 ani, Caras-Severin, Anul 1996, Numar persoane, 64
5- 9 ani, Caras-Severin, Anul 1997, Numar persoane, 32
5- 9 ani, Caras-Severin, Anul 1998, Numar persoane, 16
5- 9 ani, Caras-Severin, Anul 1999, Numar persoane, 10
5- 9 ani, Caras-Severin, Anul 2000, Numar persoane, 21
5- 9 ani, Caras-Severin, Anul 2001, Numar persoane, 5
5- 9 ani, Caras-Severin, Anul 2002, Numar persoane, 6
5- 9 ani, Caras-Severin, Anul 2003, Numar persoane, 5
5- 9 ani, Caras-Severin, Anul 2004, Numar persoane, 3
5- 9 ani, Caras-Severin, Anul 2005, Numar persoane, 2
5- 9 ani, Caras-Severin, Anul 2006, Numar persoane, 7
5- 9 ani, Caras-Severin, Anul 2007, Numar persoane, 7
5- 9 ani, Caras-Severin, Anul 2008, Numar persoane, 9
5- 9 ani, Caras-Severin, Anul 2009, Numar persoane, 12
5- 9 ani, Caras-Severin, Anul 2010, Numar persoane, 1
5- 9 ani, Caras-Severin, Anul 2011, Numar persoane, 25
5- 9 ani, Caras-Severin, Anul 2012, Numar persoane, 27
5- 9 ani, Caras-Severin, Anul 2013, Numar persoane, 19
5- 9 ani, Caras-Severin, Anul 2014, Numar persoane, 17
5- 9 ani, Caras-Severin, Anul 2015, Numar persoane, 17
5- 9 ani, Caras-Severin, Anul 2016, Numar persoane, 19
5- 9 ani, Caras-Severin, Anul 2017, Numar persoane, 26
5- 9 ani, Caras-Severin, Anul 2018, Numar persoane, 43
5- 9 ani, Caras-Severin, Anul 2019, Numar persoane, 45
5- 9 ani, Caras-Severin, Anul 2020, Numar persoane, 32
5- 9 ani, Caras-Severin, Anul 2021, Numar persoane, 37
5- 9 ani, Caras-Severin, Anul 2022, Numar persoane, 49
5- 9 ani, Hunedoara, Anul 1992, Numar persoane, 30
5- 9 ani, Hunedoara, Anul 1993, Numar persoane, 17
5- 9 ani, Hunedoara, Anul 1994, Numar persoane, 13
5- 9 ani, Hunedoara, Anul 1995, Numar persoane, 38
5- 9 ani, Hunedoara, Anul 1996, Numar persoane, 22
5- 9 ani, Hunedoara, Anul 1997, Numar persoane, 30
5- 9 ani, Hunedoara, Anul 1998, Numar persoane, 11
5- 9 ani, Hunedoara, Anul 1999, Numar persoane, 17
5- 9 ani, Hunedoara, Anul 2000, Numar persoane, 10
5- 9 ani, Hunedoara, Anul 2001, Numar persoane, 13
5- 9 ani, Hunedoara, Anul 2002, Numar persoane, 2
5- 9 ani, Hunedoara, Anul 2003, Numar persoane, 12
5- 9 ani, Hunedoara, Anul 2004, Numar persoane, 9
5- 9 ani, Hunedoara, Anul 2005, Numar persoane, 5
5- 9 ani, Hunedoara, Anul 2006, Numar persoane, 5
5- 9 ani, Hunedoara, Anul 2007, Numar persoane, 13
5- 9 ani, Hunedoara, Anul 2008, Numar persoane, 10
5- 9 ani, Hunedoara, Anul 2009, Numar persoane, 24
5- 9 ani, Hunedoara, Anul 2010, Numar persoane, 7
5- 9 ani, Hunedoara, Anul 2011, Numar persoane, 19
5- 9 ani, Hunedoara, Anul 2012, Numar persoane, 25
5- 9 ani, Hunedoara, Anul 2013, Numar persoane, 25
5- 9 ani, Hunedoara, Anul 2014, Numar persoane, 14
5- 9 ani, Hunedoara, Anul 2015, Numar persoane, 14
5- 9 ani, Hunedoara, Anul 2016, Numar persoane, 20
5- 9 ani, Hunedoara, Anul 2017, Numar persoane, 28
5- 9 ani, Hunedoara, Anul 2018, Numar persoane, 28
5- 9 ani, Hunedoara, Anul 2019, Numar persoane, 15
5- 9 ani, Hunedoara, Anul 2020, Numar persoane, 16
5- 9 ani, Hunedoara, Anul 2021, Numar persoane, 25
5- 9 ani, Hunedoara, Anul 2022, Numar persoane, 56
5- 9 ani, Timis, Anul 1992, Numar persoane, 176
5- 9 ani, Timis, Anul 1993, Numar persoane, 168
5- 9 ani, Timis, Anul 1994, Numar persoane, 175
5- 9 ani, Timis, Anul 1995, Numar persoane, 216
5- 9 ani, Timis, Anul 1996, Numar persoane, 161
5- 9 ani, Timis, Anul 1997, Numar persoane, 107
5- 9 ani, Timis, Anul 1998, Numar persoane, 70
5- 9 ani, Timis, Anul 1999, Numar persoane, 25
5- 9 ani, Timis, Anul 2000, Numar persoane, 42
5- 9 ani, Timis, Anul 2001, Numar persoane, 35
5- 9 ani, Timis, Anul 2002, Numar persoane, 22
5- 9 ani, Timis, Anul 2003, Numar persoane, 24
5- 9 ani, Timis, Anul 2004, Numar persoane, 24
5- 9 ani, Timis, Anul 2005, Numar persoane, 14
5- 9 ani, Timis, Anul 2006, Numar persoane, 24
5- 9 ani, Timis, Anul 2007, Numar persoane, 30
5- 9 ani, Timis, Anul 2008, Numar persoane, 30
5- 9 ani, Timis, Anul 2009, Numar persoane, 20
5- 9 ani, Timis, Anul 2010, Numar persoane, 18
5- 9 ani, Timis, Anul 2011, Numar persoane, 60
5- 9 ani, Timis, Anul 2012, Numar persoane, 54
5- 9 ani, Timis, Anul 2013, Numar persoane, 47
5- 9 ani, Timis, Anul 2014, Numar persoane, 28
5- 9 ani, Timis, Anul 2015, Numar persoane, 41
5- 9 ani, Timis, Anul 2016, Numar persoane, 57
5- 9 ani, Timis, Anul 2017, Numar persoane, 69
5- 9 ani, Timis, Anul 2018, Numar persoane, 76
5- 9 ani, Timis, Anul 2019, Numar persoane, 85
5- 9 ani, Timis, Anul 2020, Numar persoane, 65
5- 9 ani, Timis, Anul 2021, Numar persoane, 112
5- 9 ani, Timis, Anul 2022, Numar persoane, 145
10-14 ani, Bihor, Anul 1992, Numar persoane, 86
10-14 ani, Bihor, Anul 1993, Numar persoane, 65
10-14 ani, Bihor, Anul 1994, Numar persoane, 35
10-14 ani, Bihor, Anul 1995, Numar persoane, 35
10-14 ani, Bihor, Anul 1996, Numar persoane, 37
10-14 ani, Bihor, Anul 1997, Numar persoane, 38
10-14 ani, Bihor, Anul 1998, Numar persoane, 21
10-14 ani, Bihor, Anul 1999, Numar persoane, 13
10-14 ani, Bihor, Anul 2000, Numar persoane, 29
10-14 ani, Bihor, Anul 2001, Numar persoane, 11
10-14 ani, Bihor, Anul 2002, Numar persoane, 16
10-14 ani, Bihor, Anul 2003, Numar persoane, 20
10-14 ani, Bihor, Anul 2004, Numar persoane, 30
10-14 ani, Bihor, Anul 2005, Numar persoane, 11
10-14 ani, Bihor, Anul 2006, Numar persoane, 9
10-14 ani, Bihor, Anul 2007, Numar persoane, 14
10-14 ani, Bihor, Anul 2008, Numar persoane, 11
10-14 ani, Bihor, Anul 2009, Numar persoane, 6
10-14 ani, Bihor, Anul 2010, Numar persoane, 8
10-14 ani, Bihor, Anul 2011, Numar persoane, 17
10-14 ani, Bihor, Anul 2012, Numar persoane, 25
10-14 ani, Bihor, Anul 2013, Numar persoane, 17
10-14 ani, Bihor, Anul 2014, Numar persoane, 12
10-14 ani, Bihor, Anul 2015, Numar persoane, 10
10-14 ani, Bihor, Anul 2016, Numar persoane, 7
10-14 ani, Bihor, Anul 2017, Numar persoane, 17
10-14 ani, Bihor, Anul 2018, Numar persoane, 28
10-14 ani, Bihor, Anul 2019, Numar persoane, 27
10-14 ani, Bihor, Anul 2020, Numar persoane, 17
10-14 ani, Bihor, Anul 2021, Numar persoane, 43
10-14 ani, Bihor, Anul 2022, Numar persoane, 36
10-14 ani, Bistrita-Nasaud, Anul 1992, Numar persoane, 5
10-14 ani, Bistrita-Nasaud, Anul 1993, Numar persoane, 6
10-14 ani, Bistrita-Nasaud, Anul 1994, Numar persoane, 9
10-14 ani, Bistrita-Nasaud, Anul 1995, Numar persoane, 18
10-14 ani, Bistrita-Nasaud, Anul 1996, Numar persoane, 12
10-14 ani, Bistrita-Nasaud, Anul 1997, Numar persoane, 11
10-14 ani, Bistrita-Nasaud, Anul 1998, Numar persoane, 6
10-14 ani, Bistrita-Nasaud, Anul 1999, Numar persoane, 8
10-14 ani, Bistrita-Nasaud, Anul 2000, Numar persoane, 9
10-14 ani, Bistrita-Nasaud, Anul 2001, Numar persoane, 14
10-14 ani, Bistrita-Nasaud, Anul 2002, Numar persoane, 8
10-14 ani, Bistrita-Nasaud, Anul 2003, Numar persoane, 5
10-14 ani, Bistrita-Nasaud, Anul 2004, Numar persoane, 4
10-14 ani, Bistrita-Nasaud, Anul 2005, Numar persoane, 8
10-14 ani, Bistrita-Nasaud, Anul 2006, Numar persoane, 8
10-14 ani, Bistrita-Nasaud, Anul 2007, Numar persoane, 5
10-14 ani, Bistrita-Nasaud, Anul 2008, Numar persoane, 9
10-14 ani, Bistrita-Nasaud, Anul 2009, Numar persoane, 8
10-14 ani, Bistrita-Nasaud, Anul 2010, Numar persoane, 2
10-14 ani, Bistrita-Nasaud, Anul 2011, Numar persoane, 23
10-14 ani, Bistrita-Nasaud, Anul 2012, Numar persoane, 34
10-14 ani, Bistrita-Nasaud, Anul 2013, Numar persoane, 12
10-14 ani, Bistrita-Nasaud, Anul 2014, Numar persoane, 8
10-14 ani, Bistrita-Nasaud, Anul 2015, Numar persoane, 17
10-14 ani, Bistrita-Nasaud, Anul 2016, Numar persoane, 20
10-14 ani, Bistrita-Nasaud, Anul 2017, Numar persoane, 26
10-14 ani, Bistrita-Nasaud, Anul 2018, Numar persoane, 39
10-14 ani, Bistrita-Nasaud, Anul 2019, Numar persoane, 23
10-14 ani, Bistrita-Nasaud, Anul 2020, Numar persoane, 16
10-14 ani, Bistrita-Nasaud, Anul 2021, Numar persoane, 44
10-14 ani, Bistrita-Nasaud, Anul 2022, Numar persoane, 42
10-14 ani, Cluj, Anul 1992, Numar persoane, 52
10-14 ani, Cluj, Anul 1993, Numar persoane, 25
10-14 ani, Cluj, Anul 1994, Numar persoane, 27
10-14 ani, Cluj, Anul 1995, Numar persoane, 41
10-14 ani, Cluj, Anul 1996, Numar persoane, 30
10-14 ani, Cluj, Anul 1997, Numar persoane, 27
10-14 ani, Cluj, Anul 1998, Numar persoane, 39
10-14 ani, Cluj, Anul 1999, Numar persoane, 36
10-14 ani, Cluj, Anul 2000, Numar persoane, 36
10-14 ani, Cluj, Anul 2001, Numar persoane, 24
10-14 ani, Cluj, Anul 2002, Numar persoane, 22
10-14 ani, Cluj, Anul 2003, Numar persoane, 27
10-14 ani, Cluj, Anul 2004, Numar persoane, 42
10-14 ani, Cluj, Anul 2005, Numar persoane, 12
10-14 ani, Cluj, Anul 2006, Numar persoane, 20
10-14 ani, Cluj, Anul 2007, Numar persoane, 13
10-14 ani, Cluj, Anul 2008, Numar persoane, 22
10-14 ani, Cluj, Anul 2009, Numar persoane, 17
10-14 ani, Cluj, Anul 2010, Numar persoane, 20
10-14 ani, Cluj, Anul 2011, Numar persoane, 31
10-14 ani, Cluj, Anul 2012, Numar persoane, 36
10-14 ani, Cluj, Anul 2013, Numar persoane, 17
10-14 ani, Cluj, Anul 2014, Numar persoane, 14
10-14 ani, Cluj, Anul 2015, Numar persoane, 19
10-14 ani, Cluj, Anul 2016, Numar persoane, 33
10-14 ani, Cluj, Anul 2017, Numar persoane, 45
10-14 ani, Cluj, Anul 2018, Numar persoane, 51
10-14 ani, Cluj, Anul 2019, Numar persoane, 39
10-14 ani, Cluj, Anul 2020, Numar persoane, 30
10-14 ani, Cluj, Anul 2021, Numar persoane, 74
10-14 ani, Cluj, Anul 2022, Numar persoane, 90
10-14 ani, Maramures, Anul 1992, Numar persoane, 37
10-14 ani, Maramures, Anul 1993, Numar persoane, 27
10-14 ani, Maramures, Anul 1994, Numar persoane, 20
10-14 ani, Maramures, Anul 1995, Numar persoane, 29
10-14 ani, Maramures, Anul 1996, Numar persoane, 23
10-14 ani, Maramures, Anul 1997, Numar persoane, 21
10-14 ani, Maramures, Anul 1998, Numar persoane, 17
10-14 ani, Maramures, Anul 1999, Numar persoane, 3
10-14 ani, Maramures, Anul 2000, Numar persoane, 17
10-14 ani, Maramures, Anul 2001, Numar persoane, 13
10-14 ani, Maramures, Anul 2002, Numar persoane, 12
10-14 ani, Maramures, Anul 2003, Numar persoane, 16
10-14 ani, Maramures, Anul 2004, Numar persoane, 18
10-14 ani, Maramures, Anul 2005, Numar persoane, 6
10-14 ani, Maramures, Anul 2006, Numar persoane, 13
10-14 ani, Maramures, Anul 2007, Numar persoane, 14
10-14 ani, Maramures, Anul 2008, Numar persoane, 12
10-14 ani, Maramures, Anul 2009, Numar persoane, 16
10-14 ani, Maramures, Anul 2010, Numar persoane, 12
10-14 ani, Maramures, Anul 2011, Numar persoane, 20
10-14 ani, Maramures, Anul 2012, Numar persoane, 25
10-14 ani, Maramures, Anul 2013, Numar persoane, 20
10-14 ani, Maramures, Anul 2014, Numar persoane, 12
10-14 ani, Maramures, Anul 2015, Numar persoane, 12
10-14 ani, Maramures, Anul 2016, Numar persoane, 29
10-14 ani, Maramures, Anul 2017, Numar persoane, 35
10-14 ani, Maramures, Anul 2018, Numar persoane, 36
10-14 ani, Maramures, Anul 2019, Numar persoane, 31
10-14 ani, Maramures, Anul 2020, Numar persoane, 27
10-14 ani, Maramures, Anul 2021, Numar persoane, 56
10-14 ani, Maramures, Anul 2022, Numar persoane, 61
10-14 ani, Satu Mare, Anul 1992, Numar persoane, 57
10-14 ani, Satu Mare, Anul 1993, Numar persoane, 35
