Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Urban, Botosani, Anul 2015, Numar persoane, 1845
Total, Urban, Botosani, Anul 2016, Numar persoane, 1824
Total, Urban, Botosani, Anul 2017, Numar persoane, 1782
Total, Urban, Botosani, Anul 2018, Numar persoane, 1786
Total, Urban, Botosani, Anul 2019, Numar persoane, 1871
Total, Urban, Botosani, Anul 2020, Numar persoane, 1591
Total, Urban, Botosani, Anul 2021, Numar persoane, 1507
Total, Urban, Botosani, Anul 2022, Numar persoane, 1360
Total, Urban, Iasi, Anul 1990, Numar persoane, 5045
Total, Urban, Iasi, Anul 1991, Numar persoane, 4111
Total, Urban, Iasi, Anul 1992, Numar persoane, 3719
Total, Urban, Iasi, Anul 1993, Numar persoane, 3761
Total, Urban, Iasi, Anul 1994, Numar persoane, 3669
Total, Urban, Iasi, Anul 1995, Numar persoane, 3639
Total, Urban, Iasi, Anul 1996, Numar persoane, 3495
Total, Urban, Iasi, Anul 1997, Numar persoane, 3748
Total, Urban, Iasi, Anul 1998, Numar persoane, 3899
Total, Urban, Iasi, Anul 1999, Numar persoane, 3790
Total, Urban, Iasi, Anul 2000, Numar persoane, 3807
Total, Urban, Iasi, Anul 2001, Numar persoane, 3713
Total, Urban, Iasi, Anul 2002, Numar persoane, 3537
Total, Urban, Iasi, Anul 2003, Numar persoane, 3581
Total, Urban, Iasi, Anul 2004, Numar persoane, 3943
Total, Urban, Iasi, Anul 2005, Numar persoane, 4214
Total, Urban, Iasi, Anul 2006, Numar persoane, 4370
Total, Urban, Iasi, Anul 2007, Numar persoane, 4407
Total, Urban, Iasi, Anul 2008, Numar persoane, 4585
Total, Urban, Iasi, Anul 2009, Numar persoane, 4388
Total, Urban, Iasi, Anul 2010, Numar persoane, 4484
Total, Urban, Iasi, Anul 2011, Numar persoane, 3877
Total, Urban, Iasi, Anul 2012, Numar persoane, 4189
Total, Urban, Iasi, Anul 2013, Numar persoane, 5515
Total, Urban, Iasi, Anul 2014, Numar persoane, 4766
Total, Urban, Iasi, Anul 2015, Numar persoane, 5136
Total, Urban, Iasi, Anul 2016, Numar persoane, 5043
Total, Urban, Iasi, Anul 2017, Numar persoane, 5545
Total, Urban, Iasi, Anul 2018, Numar persoane, 5688
Total, Urban, Iasi, Anul 2019, Numar persoane, 5714
Total, Urban, Iasi, Anul 2020, Numar persoane, 5085
Total, Urban, Iasi, Anul 2021, Numar persoane, 4700
Total, Urban, Iasi, Anul 2022, Numar persoane, 3513
Total, Urban, Neamt, Anul 1990, Numar persoane, 3220
Total, Urban, Neamt, Anul 1991, Numar persoane, 2749
Total, Urban, Neamt, Anul 1992, Numar persoane, 2429
Total, Urban, Neamt, Anul 1993, Numar persoane, 2307
Total, Urban, Neamt, Anul 1994, Numar persoane, 2221
Total, Urban, Neamt, Anul 1995, Numar persoane, 2171
Total, Urban, Neamt, Anul 1996, Numar persoane, 2056
Total, Urban, Neamt, Anul 1997, Numar persoane, 2114
Total, Urban, Neamt, Anul 1998, Numar persoane, 2196
Total, Urban, Neamt, Anul 1999, Numar persoane, 2210
Total, Urban, Neamt, Anul 2000, Numar persoane, 2079
Total, Urban, Neamt, Anul 2001, Numar persoane, 1858
Total, Urban, Neamt, Anul 2002, Numar persoane, 1798
Total, Urban, Neamt, Anul 2003, Numar persoane, 1834
Total, Urban, Neamt, Anul 2004, Numar persoane, 2089
Total, Urban, Neamt, Anul 2005, Numar persoane, 2243
Total, Urban, Neamt, Anul 2006, Numar persoane, 2281
Total, Urban, Neamt, Anul 2007, Numar persoane, 2184
Total, Urban, Neamt, Anul 2008, Numar persoane, 2129
Total, Urban, Neamt, Anul 2009, Numar persoane, 2092
Total, Urban, Neamt, Anul 2010, Numar persoane, 2031
Total, Urban, Neamt, Anul 2011, Numar persoane, 1722
Total, Urban, Neamt, Anul 2012, Numar persoane, 1885
Total, Urban, Neamt, Anul 2013, Numar persoane, 2191
Total, Urban, Neamt, Anul 2014, Numar persoane, 1845
Total, Urban, Neamt, Anul 2015, Numar persoane, 1787
Total, Urban, Neamt, Anul 2016, Numar persoane, 1807
Total, Urban, Neamt, Anul 2017, Numar persoane, 1823
Total, Urban, Neamt, Anul 2018, Numar persoane, 1937
Total, Urban, Neamt, Anul 2019, Numar persoane, 1916
Total, Urban, Neamt, Anul 2020, Numar persoane, 1657
Total, Urban, Neamt, Anul 2021, Numar persoane, 1531
Total, Urban, Neamt, Anul 2022, Numar persoane, 1330
Total, Urban, Suceava, Anul 1990, Numar persoane, 3894
Total, Urban, Suceava, Anul 1991, Numar persoane, 3326
Total, Urban, Suceava, Anul 1992, Numar persoane, 3240
Total, Urban, Suceava, Anul 1993, Numar persoane, 2905
Total, Urban, Suceava, Anul 1994, Numar persoane, 2826
Total, Urban, Suceava, Anul 1995, Numar persoane, 2619
Total, Urban, Suceava, Anul 1996, Numar persoane, 2564
Total, Urban, Suceava, Anul 1997, Numar persoane, 2581
Total, Urban, Suceava, Anul 1998, Numar persoane, 2565
Total, Urban, Suceava, Anul 1999, Numar persoane, 2575
Total, Urban, Suceava, Anul 2000, Numar persoane, 2572
Total, Urban, Suceava, Anul 2001, Numar persoane, 2328
Total, Urban, Suceava, Anul 2002, Numar persoane, 2179
Total, Urban, Suceava, Anul 2003, Numar persoane, 2139
Total, Urban, Suceava, Anul 2004, Numar persoane, 3568
Total, Urban, Suceava, Anul 2005, Numar persoane, 3650
Total, Urban, Suceava, Anul 2006, Numar persoane, 3648
Total, Urban, Suceava, Anul 2007, Numar persoane, 3500
Total, Urban, Suceava, Anul 2008, Numar persoane, 3622
Total, Urban, Suceava, Anul 2009, Numar persoane, 3474
Total, Urban, Suceava, Anul 2010, Numar persoane, 3282
Total, Urban, Suceava, Anul 2011, Numar persoane, 3214
Total, Urban, Suceava, Anul 2012, Numar persoane, 3408
Total, Urban, Suceava, Anul 2013, Numar persoane, 4005
Total, Urban, Suceava, Anul 2014, Numar persoane, 3453
Total, Urban, Suceava, Anul 2015, Numar persoane, 3500
Total, Urban, Suceava, Anul 2016, Numar persoane, 3635
Total, Urban, Suceava, Anul 2017, Numar persoane, 3661
Total, Urban, Suceava, Anul 2018, Numar persoane, 3865
Total, Urban, Suceava, Anul 2019, Numar persoane, 3786
Total, Urban, Suceava, Anul 2020, Numar persoane, 3469
Total, Urban, Suceava, Anul 2021, Numar persoane, 3447
Total, Urban, Suceava, Anul 2022, Numar persoane, 2835
Total, Urban, Vaslui, Anul 1990, Numar persoane, 2914
Total, Urban, Vaslui, Anul 1991, Numar persoane, 2324
Total, Urban, Vaslui, Anul 1992, Numar persoane, 2265
Total, Urban, Vaslui, Anul 1993, Numar persoane, 2143
Total, Urban, Vaslui, Anul 1994, Numar persoane, 2135
Total, Urban, Vaslui, Anul 1995, Numar persoane, 2012
Total, Urban, Vaslui, Anul 1996, Numar persoane, 1916
Total, Urban, Vaslui, Anul 1997, Numar persoane, 2076
Total, Urban, Vaslui, Anul 1998, Numar persoane, 2098
Total, Urban, Vaslui, Anul 1999, Numar persoane, 2059
Total, Urban, Vaslui, Anul 2000, Numar persoane, 2067
Total, Urban, Vaslui, Anul 2001, Numar persoane, 1854
Total, Urban, Vaslui, Anul 2002, Numar persoane, 1822
Total, Urban, Vaslui, Anul 2003, Numar persoane, 1740
Total, Urban, Vaslui, Anul 2004, Numar persoane, 2013
Total, Urban, Vaslui, Anul 2005, Numar persoane, 2160
Total, Urban, Vaslui, Anul 2006, Numar persoane, 2123
Total, Urban, Vaslui, Anul 2007, Numar persoane, 2036
Total, Urban, Vaslui, Anul 2008, Numar persoane, 1958
Total, Urban, Vaslui, Anul 2009, Numar persoane, 2038
Total, Urban, Vaslui, Anul 2010, Numar persoane, 1707
Total, Urban, Vaslui, Anul 2011, Numar persoane, 1634
Total, Urban, Vaslui, Anul 2012, Numar persoane, 1900
Total, Urban, Vaslui, Anul 2013, Numar persoane, 3107
Total, Urban, Vaslui, Anul 2014, Numar persoane, 2281
Total, Urban, Vaslui, Anul 2015, Numar persoane, 2693
Total, Urban, Vaslui, Anul 2016, Numar persoane, 2364
Total, Urban, Vaslui, Anul 2017, Numar persoane, 2721
Total, Urban, Vaslui, Anul 2018, Numar persoane, 2344
Total, Urban, Vaslui, Anul 2019, Numar persoane, 3271
Total, Urban, Vaslui, Anul 2020, Numar persoane, 2849
Total, Urban, Vaslui, Anul 2021, Numar persoane, 2681
Total, Urban, Vaslui, Anul 2022, Numar persoane, 1621
Total, Urban, Braila, Anul 1990, Numar persoane, 3047
Total, Urban, Braila, Anul 1991, Numar persoane, 2511
Total, Urban, Braila, Anul 1992, Numar persoane, 2319
Total, Urban, Braila, Anul 1993, Numar persoane, 2285
Total, Urban, Braila, Anul 1994, Numar persoane, 2160
Total, Urban, Braila, Anul 1995, Numar persoane, 2172
Total, Urban, Braila, Anul 1996, Numar persoane, 2043
Total, Urban, Braila, Anul 1997, Numar persoane, 2051
Total, Urban, Braila, Anul 1998, Numar persoane, 2060
Total, Urban, Braila, Anul 1999, Numar persoane, 1995
Total, Urban, Braila, Anul 2000, Numar persoane, 2058
Total, Urban, Braila, Anul 2001, Numar persoane, 2027
Total, Urban, Braila, Anul 2002, Numar persoane, 1850
Total, Urban, Braila, Anul 2003, Numar persoane, 1944
Total, Urban, Braila, Anul 2004, Numar persoane, 2054
Total, Urban, Braila, Anul 2005, Numar persoane, 2134
Total, Urban, Braila, Anul 2006, Numar persoane, 1944
Total, Urban, Braila, Anul 2007, Numar persoane, 1804
Total, Urban, Braila, Anul 2008, Numar persoane, 1796
Total, Urban, Braila, Anul 2009, Numar persoane, 1963
Total, Urban, Braila, Anul 2010, Numar persoane, 1752
Total, Urban, Braila, Anul 2011, Numar persoane, 1558
Total, Urban, Braila, Anul 2012, Numar persoane, 1562
Total, Urban, Braila, Anul 2013, Numar persoane, 1581
Total, Urban, Braila, Anul 2014, Numar persoane, 1443
Total, Urban, Braila, Anul 2015, Numar persoane, 1477
Total, Urban, Braila, Anul 2016, Numar persoane, 1543
Total, Urban, Braila, Anul 2017, Numar persoane, 1537
Total, Urban, Braila, Anul 2018, Numar persoane, 1613
Total, Urban, Braila, Anul 2019, Numar persoane, 1580
Total, Urban, Braila, Anul 2020, Numar persoane, 1349
Total, Urban, Braila, Anul 2021, Numar persoane, 1297
Total, Urban, Braila, Anul 2022, Numar persoane, 1075
Total, Urban, Buzau, Anul 1990, Numar persoane, 2494
Total, Urban, Buzau, Anul 1991, Numar persoane, 2183
Total, Urban, Buzau, Anul 1992, Numar persoane, 2131
Total, Urban, Buzau, Anul 1993, Numar persoane, 1965
Total, Urban, Buzau, Anul 1994, Numar persoane, 2054
Total, Urban, Buzau, Anul 1995, Numar persoane, 2010
Total, Urban, Buzau, Anul 1996, Numar persoane, 1860
Total, Urban, Buzau, Anul 1997, Numar persoane, 1883
Total, Urban, Buzau, Anul 1998, Numar persoane, 1873
Total, Urban, Buzau, Anul 1999, Numar persoane, 1973
Total, Urban, Buzau, Anul 2000, Numar persoane, 1895
Total, Urban, Buzau, Anul 2001, Numar persoane, 1756
Total, Urban, Buzau, Anul 2002, Numar persoane, 1774
Total, Urban, Buzau, Anul 2003, Numar persoane, 1782
Total, Urban, Buzau, Anul 2004, Numar persoane, 1942
Total, Urban, Buzau, Anul 2005, Numar persoane, 2043
Total, Urban, Buzau, Anul 2006, Numar persoane, 2124
Total, Urban, Buzau, Anul 2007, Numar persoane, 2004
Total, Urban, Buzau, Anul 2008, Numar persoane, 2042
Total, Urban, Buzau, Anul 2009, Numar persoane, 1834
Total, Urban, Buzau, Anul 2010, Numar persoane, 1819
Total, Urban, Buzau, Anul 2011, Numar persoane, 1553
Total, Urban, Buzau, Anul 2012, Numar persoane, 1587
Total, Urban, Buzau, Anul 2013, Numar persoane, 1656
Total, Urban, Buzau, Anul 2014, Numar persoane, 1598
Total, Urban, Buzau, Anul 2015, Numar persoane, 1528
Total, Urban, Buzau, Anul 2016, Numar persoane, 1696
Total, Urban, Buzau, Anul 2017, Numar persoane, 1578
Total, Urban, Buzau, Anul 2018, Numar persoane, 1558
Total, Urban, Buzau, Anul 2019, Numar persoane, 1592
Total, Urban, Buzau, Anul 2020, Numar persoane, 1339
Total, Urban, Buzau, Anul 2021, Numar persoane, 1344
Total, Urban, Buzau, Anul 2022, Numar persoane, 1189
Total, Urban, Constanta, Anul 1990, Numar persoane, 6899
Total, Urban, Constanta, Anul 1991, Numar persoane, 5647
Total, Urban, Constanta, Anul 1992, Numar persoane, 4909
Total, Urban, Constanta, Anul 1993, Numar persoane, 4831
Total, Urban, Constanta, Anul 1994, Numar persoane, 4679
Total, Urban, Constanta, Anul 1995, Numar persoane, 4526
Total, Urban, Constanta, Anul 1996, Numar persoane, 4567
Total, Urban, Constanta, Anul 1997, Numar persoane, 4638
Total, Urban, Constanta, Anul 1998, Numar persoane, 4677
Total, Urban, Constanta, Anul 1999, Numar persoane, 4758
Total, Urban, Constanta, Anul 2000, Numar persoane, 4810
Total, Urban, Constanta, Anul 2001, Numar persoane, 4633
Total, Urban, Constanta, Anul 2002, Numar persoane, 4316
Total, Urban, Constanta, Anul 2003, Numar persoane, 4458
Total, Urban, Constanta, Anul 2004, Numar persoane, 4838
Total, Urban, Constanta, Anul 2005, Numar persoane, 4955
Total, Urban, Constanta, Anul 2006, Numar persoane, 5043
Total, Urban, Constanta, Anul 2007, Numar persoane, 5145
Total, Urban, Constanta, Anul 2008, Numar persoane, 5397
Total, Urban, Constanta, Anul 2009, Numar persoane, 5534
Total, Urban, Constanta, Anul 2010, Numar persoane, 5391
Total, Urban, Constanta, Anul 2011, Numar persoane, 4791
Total, Urban, Constanta, Anul 2012, Numar persoane, 4899
Total, Urban, Constanta, Anul 2013, Numar persoane, 5006
Total, Urban, Constanta, Anul 2014, Numar persoane, 4929
Total, Urban, Constanta, Anul 2015, Numar persoane, 4884
Total, Urban, Constanta, Anul 2016, Numar persoane, 5073
Total, Urban, Constanta, Anul 2017, Numar persoane, 5044
Total, Urban, Constanta, Anul 2018, Numar persoane, 4742
Total, Urban, Constanta, Anul 2019, Numar persoane, 4628
Total, Urban, Constanta, Anul 2020, Numar persoane, 4325
Total, Urban, Constanta, Anul 2021, Numar persoane, 4083
Total, Urban, Constanta, Anul 2022, Numar persoane, 3468
Total, Urban, Galati, Anul 1990, Numar persoane, 4265
Total, Urban, Galati, Anul 1991, Numar persoane, 3580
Total, Urban, Galati, Anul 1992, Numar persoane, 3467
Total, Urban, Galati, Anul 1993, Numar persoane, 3316
Total, Urban, Galati, Anul 1994, Numar persoane, 3218
Total, Urban, Galati, Anul 1995, Numar persoane, 3258
Total, Urban, Galati, Anul 1996, Numar persoane, 3212
Total, Urban, Galati, Anul 1997, Numar persoane, 3361
Total, Urban, Galati, Anul 1998, Numar persoane, 3322
Total, Urban, Galati, Anul 1999, Numar persoane, 3180
Total, Urban, Galati, Anul 2000, Numar persoane, 3307
Total, Urban, Galati, Anul 2001, Numar persoane, 3051
Total, Urban, Galati, Anul 2002, Numar persoane, 2755
Total, Urban, Galati, Anul 2003, Numar persoane, 2973
Total, Urban, Galati, Anul 2004, Numar persoane, 3097
Total, Urban, Galati, Anul 2005, Numar persoane, 3025
Total, Urban, Galati, Anul 2006, Numar persoane, 3040
Total, Urban, Galati, Anul 2007, Numar persoane, 2929
Total, Urban, Galati, Anul 2008, Numar persoane, 2970
Total, Urban, Galati, Anul 2009, Numar persoane, 3061
Total, Urban, Galati, Anul 2010, Numar persoane, 2852
Total, Urban, Galati, Anul 2011, Numar persoane, 2350
Total, Urban, Galati, Anul 2012, Numar persoane, 2257
Total, Urban, Galati, Anul 2013, Numar persoane, 2672
Total, Urban, Galati, Anul 2014, Numar persoane, 2774
Total, Urban, Galati, Anul 2015, Numar persoane, 2882
Total, Urban, Galati, Anul 2016, Numar persoane, 2857
Total, Urban, Galati, Anul 2017, Numar persoane, 3065
Total, Urban, Galati, Anul 2018, Numar persoane, 3123
Total, Urban, Galati, Anul 2019, Numar persoane, 3323
Total, Urban, Galati, Anul 2020, Numar persoane, 2875
Total, Urban, Galati, Anul 2021, Numar persoane, 2969
Total, Urban, Galati, Anul 2022, Numar persoane, 2328
Total, Urban, Tulcea, Anul 1990, Numar persoane, 1815
Total, Urban, Tulcea, Anul 1991, Numar persoane, 1451
Total, Urban, Tulcea, Anul 1992, Numar persoane, 1364
Total, Urban, Tulcea, Anul 1993, Numar persoane, 1227
Total, Urban, Tulcea, Anul 1994, Numar persoane, 1147
Total, Urban, Tulcea, Anul 1995, Numar persoane, 1194
Total, Urban, Tulcea, Anul 1996, Numar persoane, 1183
Total, Urban, Tulcea, Anul 1997, Numar persoane, 1167
Total, Urban, Tulcea, Anul 1998, Numar persoane, 1172
Total, Urban, Tulcea, Anul 1999, Numar persoane, 1161
Total, Urban, Tulcea, Anul 2000, Numar persoane, 1181
Total, Urban, Tulcea, Anul 2001, Numar persoane, 1188
Total, Urban, Tulcea, Anul 2002, Numar persoane, 1118
Total, Urban, Tulcea, Anul 2003, Numar persoane, 1195
Total, Urban, Tulcea, Anul 2004, Numar persoane, 1170
Total, Urban, Tulcea, Anul 2005, Numar persoane, 1203
Total, Urban, Tulcea, Anul 2006, Numar persoane, 1242
Total, Urban, Tulcea, Anul 2007, Numar persoane, 1228
Total, Urban, Tulcea, Anul 2008, Numar persoane, 1178
Total, Urban, Tulcea, Anul 2009, Numar persoane, 1170
Total, Urban, Tulcea, Anul 2010, Numar persoane, 1074
Total, Urban, Tulcea, Anul 2011, Numar persoane, 990
Total, Urban, Tulcea, Anul 2012, Numar persoane, 1019
Total, Urban, Tulcea, Anul 2013, Numar persoane, 1051
Total, Urban, Tulcea, Anul 2014, Numar persoane, 998
Total, Urban, Tulcea, Anul 2015, Numar persoane, 1001
Total, Urban, Tulcea, Anul 2016, Numar persoane, 996
Total, Urban, Tulcea, Anul 2017, Numar persoane, 967
Total, Urban, Tulcea, Anul 2018, Numar persoane, 894
Total, Urban, Tulcea, Anul 2019, Numar persoane, 902
Total, Urban, Tulcea, Anul 2020, Numar persoane, 851
Total, Urban, Tulcea, Anul 2021, Numar persoane, 846
Total, Urban, Tulcea, Anul 2022, Numar persoane, 706
Total, Urban, Vrancea, Anul 1990, Numar persoane, 2328
Total, Urban, Vrancea, Anul 1991, Numar persoane, 1821
Total, Urban, Vrancea, Anul 1992, Numar persoane, 1748
Total, Urban, Vrancea, Anul 1993, Numar persoane, 1645
Total, Urban, Vrancea, Anul 1994, Numar persoane, 1545
Total, Urban, Vrancea, Anul 1995, Numar persoane, 1492
Total, Urban, Vrancea, Anul 1996, Numar persoane, 1397
Total, Urban, Vrancea, Anul 1997, Numar persoane, 1467
Total, Urban, Vrancea, Anul 1998, Numar persoane, 1372
Total, Urban, Vrancea, Anul 1999, Numar persoane, 1373
Total, Urban, Vrancea, Anul 2000, Numar persoane, 1301
Total, Urban, Vrancea, Anul 2001, Numar persoane, 1294
Total, Urban, Vrancea, Anul 2002, Numar persoane, 1142
Total, Urban, Vrancea, Anul 2003, Numar persoane, 1295
Total, Urban, Vrancea, Anul 2004, Numar persoane, 1456
Total, Urban, Vrancea, Anul 2005, Numar persoane, 1559
Total, Urban, Vrancea, Anul 2006, Numar persoane, 1586
Total, Urban, Vrancea, Anul 2007, Numar persoane, 1532
Total, Urban, Vrancea, Anul 2008, Numar persoane, 1457
Total, Urban, Vrancea, Anul 2009, Numar persoane, 1367
Total, Urban, Vrancea, Anul 2010, Numar persoane, 1373
Total, Urban, Vrancea, Anul 2011, Numar persoane, 1239
Total, Urban, Vrancea, Anul 2012, Numar persoane, 1175
Total, Urban, Vrancea, Anul 2013, Numar persoane, 1484
Total, Urban, Vrancea, Anul 2014, Numar persoane, 1260
Total, Urban, Vrancea, Anul 2015, Numar persoane, 1237
Total, Urban, Vrancea, Anul 2016, Numar persoane, 1319
Total, Urban, Vrancea, Anul 2017, Numar persoane, 1236
Total, Urban, Vrancea, Anul 2018, Numar persoane, 1218
Total, Urban, Vrancea, Anul 2019, Numar persoane, 1191
Total, Urban, Vrancea, Anul 2020, Numar persoane, 1062
Total, Urban, Vrancea, Anul 2021, Numar persoane, 1048
Total, Urban, Vrancea, Anul 2022, Numar persoane, 880
Total, Urban, Arges, Anul 1990, Numar persoane, 3619
Total, Urban, Arges, Anul 1991, Numar persoane, 3490
Total, Urban, Arges, Anul 1992, Numar persoane, 3362
Total, Urban, Arges, Anul 1993, Numar persoane, 3288
Total, Urban, Arges, Anul 1994, Numar persoane, 3197
Total, Urban, Arges, Anul 1995, Numar persoane, 3059
Total, Urban, Arges, Anul 1996, Numar persoane, 2962
Total, Urban, Arges, Anul 1997, Numar persoane, 2888
Total, Urban, Arges, Anul 1998, Numar persoane, 2900
Total, Urban, Arges, Anul 1999, Numar persoane, 2858
Total, Urban, Arges, Anul 2000, Numar persoane, 2806
Total, Urban, Arges, Anul 2001, Numar persoane, 2595
Total, Urban, Arges, Anul 2002, Numar persoane, 2529
Total, Urban, Arges, Anul 2003, Numar persoane, 2592
Total, Urban, Arges, Anul 2004, Numar persoane, 2828
Total, Urban, Arges, Anul 2005, Numar persoane, 2883
Total, Urban, Arges, Anul 2006, Numar persoane, 2956
Total, Urban, Arges, Anul 2007, Numar persoane, 2987
Total, Urban, Arges, Anul 2008, Numar persoane, 2763
Total, Urban, Arges, Anul 2009, Numar persoane, 2925
Total, Urban, Arges, Anul 2010, Numar persoane, 2910
Total, Urban, Arges, Anul 2011, Numar persoane, 2549
Total, Urban, Arges, Anul 2012, Numar persoane, 2623
Total, Urban, Arges, Anul 2013, Numar persoane, 2616
Total, Urban, Arges, Anul 2014, Numar persoane, 2524
Total, Urban, Arges, Anul 2015, Numar persoane, 2620
Total, Urban, Arges, Anul 2016, Numar persoane, 2700
Total, Urban, Arges, Anul 2017, Numar persoane, 2712
Total, Urban, Arges, Anul 2018, Numar persoane, 2689
Total, Urban, Arges, Anul 2019, Numar persoane, 2744
Total, Urban, Arges, Anul 2020, Numar persoane, 2388
Total, Urban, Arges, Anul 2021, Numar persoane, 2186
Total, Urban, Arges, Anul 2022, Numar persoane, 1932
Total, Urban, Calarasi, Anul 1990, Numar persoane, 1914
Total, Urban, Calarasi, Anul 1991, Numar persoane, 1466
Total, Urban, Calarasi, Anul 1992, Numar persoane, 1460
Total, Urban, Calarasi, Anul 1993, Numar persoane, 1506
Total, Urban, Calarasi, Anul 1994, Numar persoane, 1448
Total, Urban, Calarasi, Anul 1995, Numar persoane, 1450
Total, Urban, Calarasi, Anul 1996, Numar persoane, 1239
Total, Urban, Calarasi, Anul 1997, Numar persoane, 1369
Total, Urban, Calarasi, Anul 1998, Numar persoane, 1405
Total, Urban, Calarasi, Anul 1999, Numar persoane, 1371
Total, Urban, Calarasi, Anul 2000, Numar persoane, 1382
Total, Urban, Calarasi, Anul 2001, Numar persoane, 1300
Total, Urban, Calarasi, Anul 2002, Numar persoane, 1264
Total, Urban, Calarasi, Anul 2003, Numar persoane, 1286
Total, Urban, Calarasi, Anul 2004, Numar persoane, 1309
Total, Urban, Calarasi, Anul 2005, Numar persoane, 1416
Total, Urban, Calarasi, Anul 2006, Numar persoane, 1465
Total, Urban, Calarasi, Anul 2007, Numar persoane, 1382
Total, Urban, Calarasi, Anul 2008, Numar persoane, 1391
Total, Urban, Calarasi, Anul 2009, Numar persoane, 1411
Total, Urban, Calarasi, Anul 2010, Numar persoane, 1351
Total, Urban, Calarasi, Anul 2011, Numar persoane, 1136
Total, Urban, Calarasi, Anul 2012, Numar persoane, 1112
Total, Urban, Calarasi, Anul 2013, Numar persoane, 1226
Total, Urban, Calarasi, Anul 2014, Numar persoane, 1118
Total, Urban, Calarasi, Anul 2015, Numar persoane, 1178
Total, Urban, Calarasi, Anul 2016, Numar persoane, 1212
Total, Urban, Calarasi, Anul 2017, Numar persoane, 1086
Total, Urban, Calarasi, Anul 2018, Numar persoane, 1104
Total, Urban, Calarasi, Anul 2019, Numar persoane, 1079
Total, Urban, Calarasi, Anul 2020, Numar persoane, 1032
Total, Urban, Calarasi, Anul 2021, Numar persoane, 1022
Total, Urban, Calarasi, Anul 2022, Numar persoane, 896
Total, Urban, Dambovita, Anul 1990, Numar persoane, 2433
Total, Urban, Dambovita, Anul 1991, Numar persoane, 2172
Total, Urban, Dambovita, Anul 1992, Numar persoane, 1847
Total, Urban, Dambovita, Anul 1993, Numar persoane, 1725
Total, Urban, Dambovita, Anul 1994, Numar persoane, 1674
Total, Urban, Dambovita, Anul 1995, Numar persoane, 1636
Total, Urban, Dambovita, Anul 1996, Numar persoane, 1628
Total, Urban, Dambovita, Anul 1997, Numar persoane, 1641
Total, Urban, Dambovita, Anul 1998, Numar persoane, 1648
Total, Urban, Dambovita, Anul 1999, Numar persoane, 1658
Total, Urban, Dambovita, Anul 2000, Numar persoane, 1632
Total, Urban, Dambovita, Anul 2001, Numar persoane, 1596
Total, Urban, Dambovita, Anul 2002, Numar persoane, 1415
Total, Urban, Dambovita, Anul 2003, Numar persoane, 1394
Total, Urban, Dambovita, Anul 2004, Numar persoane, 1555
Total, Urban, Dambovita, Anul 2005, Numar persoane, 1565
Total, Urban, Dambovita, Anul 2006, Numar persoane, 1508
Total, Urban, Dambovita, Anul 2007, Numar persoane, 1471
Total, Urban, Dambovita, Anul 2008, Numar persoane, 1638
Total, Urban, Dambovita, Anul 2009, Numar persoane, 1623
Total, Urban, Dambovita, Anul 2010, Numar persoane, 1620
Total, Urban, Dambovita, Anul 2011, Numar persoane, 1380
Total, Urban, Dambovita, Anul 2012, Numar persoane, 1387
Total, Urban, Dambovita, Anul 2013, Numar persoane, 1528
Total, Urban, Dambovita, Anul 2014, Numar persoane, 1334
Total, Urban, Dambovita, Anul 2015, Numar persoane, 1384
Total, Urban, Dambovita, Anul 2016, Numar persoane, 1414
Total, Urban, Dambovita, Anul 2017, Numar persoane, 1360
Total, Urban, Dambovita, Anul 2018, Numar persoane, 1327
Total, Urban, Dambovita, Anul 2019, Numar persoane, 1334
Total, Urban, Dambovita, Anul 2020, Numar persoane, 1212
Total, Urban, Dambovita, Anul 2021, Numar persoane, 1199
Total, Urban, Dambovita, Anul 2022, Numar persoane, 1014
Total, Urban, Giurgiu, Anul 1990, Numar persoane, 1338
Total, Urban, Giurgiu, Anul 1991, Numar persoane, 1112
Total, Urban, Giurgiu, Anul 1992, Numar persoane, 1106
Total, Urban, Giurgiu, Anul 1993, Numar persoane, 1113
Total, Urban, Giurgiu, Anul 1994, Numar persoane, 1053
Total, Urban, Giurgiu, Anul 1995, Numar persoane, 1009
Total, Urban, Giurgiu, Anul 1996, Numar persoane, 940
Total, Urban, Giurgiu, Anul 1997, Numar persoane, 952
Total, Urban, Giurgiu, Anul 1998, Numar persoane, 916
Total, Urban, Giurgiu, Anul 1999, Numar persoane, 898
Total, Urban, Giurgiu, Anul 2000, Numar persoane, 908
Total, Urban, Giurgiu, Anul 2001, Numar persoane, 920
Total, Urban, Giurgiu, Anul 2002, Numar persoane, 795
Total, Urban, Giurgiu, Anul 2003, Numar persoane, 866
Total, Urban, Giurgiu, Anul 2004, Numar persoane, 838
Total, Urban, Giurgiu, Anul 2005, Numar persoane, 817
Total, Urban, Giurgiu, Anul 2006, Numar persoane, 858
Total, Urban, Giurgiu, Anul 2007, Numar persoane, 826
Total, Urban, Giurgiu, Anul 2008, Numar persoane, 879
Total, Urban, Giurgiu, Anul 2009, Numar persoane, 889
Total, Urban, Giurgiu, Anul 2010, Numar persoane, 865
Total, Urban, Giurgiu, Anul 2011, Numar persoane, 833
Total, Urban, Giurgiu, Anul 2012, Numar persoane, 818
Total, Urban, Giurgiu, Anul 2013, Numar persoane, 874
