Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Procente, Valoare
Masculin, Vaslui, Anul 1993, Procente, 22.3
Masculin, Vaslui, Anul 1994, Procente, 25.2
Masculin, Vaslui, Anul 1995, Procente, 16.3
Masculin, Vaslui, Anul 1996, Procente, 10.5
Masculin, Vaslui, Anul 1997, Procente, 15.9
Masculin, Vaslui, Anul 1998, Procente, 21.5
Masculin, Vaslui, Anul 1999, Procente, 19.9
Masculin, Vaslui, Anul 2000, Procente, 18
Masculin, Vaslui, Anul 2001, Procente, 16.5
Masculin, Vaslui, Anul 2002, Procente, 20.2
Masculin, Vaslui, Anul 2003, Procente, 15.5
Masculin, Vaslui, Anul 2004, Procente, 13.6
Masculin, Vaslui, Anul 2005, Procente, 13.2
Masculin, Vaslui, Anul 2006, Procente, 14.7
Masculin, Vaslui, Anul 2007, Procente, 12.3
Masculin, Vaslui, Anul 2008, Procente, 12.6
Masculin, Vaslui, Anul 2009, Procente, 17
Masculin, Vaslui, Anul 2010, Procente, 15.2
Masculin, Vaslui, Anul 2011, Procente, 12.5
Masculin, Vaslui, Anul 2012, Procente, 12.9
Masculin, Vaslui, Anul 2013, Procente, 13.7
Masculin, Vaslui, Anul 2014, Procente, 14.4
Masculin, Vaslui, Anul 2015, Procente, 14
Masculin, Vaslui, Anul 2016, Procente, 14.8
Masculin, Vaslui, Anul 2017, Procente, 12.4
Masculin, Vaslui, Anul 2018, Procente, 10
Masculin, Vaslui, Anul 2019, Procente, 8.7
Masculin, Vaslui, Anul 2020, Procente, 8.3
Masculin, Vaslui, Anul 2021, Procente, 9.7
Masculin, Braila, Anul 1991, Procente, 3.3
Masculin, Braila, Anul 1992, Procente, 9.7
Masculin, Braila, Anul 1993, Procente, 8.3
Masculin, Braila, Anul 1994, Procente, 7.1
Masculin, Braila, Anul 1995, Procente, 7.2
Masculin, Braila, Anul 1996, Procente, 7.1
Masculin, Braila, Anul 1997, Procente, 14.4
Masculin, Braila, Anul 1998, Procente, 20.1
Masculin, Braila, Anul 1999, Procente, 20.4
Masculin, Braila, Anul 2000, Procente, 19.2
Masculin, Braila, Anul 2001, Procente, 14.1
Masculin, Braila, Anul 2002, Procente, 12.3
Masculin, Braila, Anul 2003, Procente, 10.3
Masculin, Braila, Anul 2004, Procente, 10.9
Masculin, Braila, Anul 2005, Procente, 8.6
Masculin, Braila, Anul 2006, Procente, 7.1
Masculin, Braila, Anul 2007, Procente, 4.8
Masculin, Braila, Anul 2008, Procente, 5
Masculin, Braila, Anul 2009, Procente, 9.4
Masculin, Braila, Anul 2010, Procente, 10.2
Masculin, Braila, Anul 2011, Procente, 6.6
Masculin, Braila, Anul 2012, Procente, 7.6
Masculin, Braila, Anul 2013, Procente, 8.4
Masculin, Braila, Anul 2014, Procente, 8.7
Masculin, Braila, Anul 2015, Procente, 8.4
Masculin, Braila, Anul 2016, Procente, 8
Masculin, Braila, Anul 2017, Procente, 5.7
Masculin, Braila, Anul 2018, Procente, 4.3
Masculin, Braila, Anul 2019, Procente, 3.9
Masculin, Braila, Anul 2020, Procente, 4.5
Masculin, Braila, Anul 2021, Procente, 3.6
Masculin, Buzau, Anul 1991, Procente, 2.7
Masculin, Buzau, Anul 1992, Procente, 9
Masculin, Buzau, Anul 1993, Procente, 11.6
Masculin, Buzau, Anul 1994, Procente, 14.2
Masculin, Buzau, Anul 1995, Procente, 13.3
Masculin, Buzau, Anul 1996, Procente, 8.3
Masculin, Buzau, Anul 1997, Procente, 9.7
Masculin, Buzau, Anul 1998, Procente, 13.9
Masculin, Buzau, Anul 1999, Procente, 15.6
Masculin, Buzau, Anul 2000, Procente, 14.1
Masculin, Buzau, Anul 2001, Procente, 13.6
Masculin, Buzau, Anul 2002, Procente, 11.1
Masculin, Buzau, Anul 2003, Procente, 8.2
Masculin, Buzau, Anul 2004, Procente, 7.4
Masculin, Buzau, Anul 2005, Procente, 8.4
Masculin, Buzau, Anul 2006, Procente, 8.6
Masculin, Buzau, Anul 2007, Procente, 5.8
Masculin, Buzau, Anul 2008, Procente, 5.8
Masculin, Buzau, Anul 2009, Procente, 10.2
Masculin, Buzau, Anul 2010, Procente, 11
Masculin, Buzau, Anul 2011, Procente, 9.1
Masculin, Buzau, Anul 2012, Procente, 9.4
Masculin, Buzau, Anul 2013, Procente, 10.2
Masculin, Buzau, Anul 2014, Procente, 11.5
Masculin, Buzau, Anul 2015, Procente, 11.5
Masculin, Buzau, Anul 2016, Procente, 11.1
Masculin, Buzau, Anul 2017, Procente, 9.9
Masculin, Buzau, Anul 2018, Procente, 8.2
Masculin, Buzau, Anul 2019, Procente, 7.3
Masculin, Buzau, Anul 2020, Procente, 8.6
Masculin, Buzau, Anul 2021, Procente, 6
Masculin, Constanta, Anul 1991, Procente, 1.8
Masculin, Constanta, Anul 1992, Procente, 3.5
Masculin, Constanta, Anul 1993, Procente, 5
Masculin, Constanta, Anul 1994, Procente, 5.5
Masculin, Constanta, Anul 1995, Procente, 4.8
Masculin, Constanta, Anul 1996, Procente, 3
Masculin, Constanta, Anul 1997, Procente, 4
Masculin, Constanta, Anul 1998, Procente, 6.4
Masculin, Constanta, Anul 1999, Procente, 9.1
Masculin, Constanta, Anul 2000, Procente, 7.8
Masculin, Constanta, Anul 2001, Procente, 6.8
Masculin, Constanta, Anul 2002, Procente, 7.9
Masculin, Constanta, Anul 2003, Procente, 6.2
Masculin, Constanta, Anul 2004, Procente, 4.9
Masculin, Constanta, Anul 2005, Procente, 4.7
Masculin, Constanta, Anul 2006, Procente, 3.3
Masculin, Constanta, Anul 2007, Procente, 2.3
Masculin, Constanta, Anul 2008, Procente, 1.8
Masculin, Constanta, Anul 2009, Procente, 5.1
Masculin, Constanta, Anul 2010, Procente, 4.7
Masculin, Constanta, Anul 2011, Procente, 3.5
Masculin, Constanta, Anul 2012, Procente, 3.7
Masculin, Constanta, Anul 2013, Procente, 3.5
Masculin, Constanta, Anul 2014, Procente, 3.2
Masculin, Constanta, Anul 2015, Procente, 2.7
Masculin, Constanta, Anul 2016, Procente, 2.9
Masculin, Constanta, Anul 2017, Procente, 2.2
Masculin, Constanta, Anul 2018, Procente, 1.9
Masculin, Constanta, Anul 2019, Procente, 1.7
Masculin, Constanta, Anul 2020, Procente, 2.1
Masculin, Constanta, Anul 2021, Procente, 1.6
Masculin, Galati, Anul 1991, Procente, 1.8
Masculin, Galati, Anul 1992, Procente, 7.5
Masculin, Galati, Anul 1993, Procente, 6.3
Masculin, Galati, Anul 1994, Procente, 8.7
Masculin, Galati, Anul 1995, Procente, 8
Masculin, Galati, Anul 1996, Procente, 5.9
Masculin, Galati, Anul 1997, Procente, 7.9
Masculin, Galati, Anul 1998, Procente, 10.2
Masculin, Galati, Anul 1999, Procente, 14.5
Masculin, Galati, Anul 2000, Procente, 11.2
Masculin, Galati, Anul 2001, Procente, 9.8
Masculin, Galati, Anul 2002, Procente, 16.4
Masculin, Galati, Anul 2003, Procente, 11.7
Masculin, Galati, Anul 2004, Procente, 10.6
Masculin, Galati, Anul 2005, Procente, 8.8
Masculin, Galati, Anul 2006, Procente, 7.8
Masculin, Galati, Anul 2007, Procente, 5.8
Masculin, Galati, Anul 2008, Procente, 6.8
Masculin, Galati, Anul 2009, Procente, 12.4
Masculin, Galati, Anul 2010, Procente, 11.4
Masculin, Galati, Anul 2011, Procente, 8.6
Masculin, Galati, Anul 2012, Procente, 10
Masculin, Galati, Anul 2013, Procente, 10.3
Masculin, Galati, Anul 2014, Procente, 10.6
Masculin, Galati, Anul 2015, Procente, 9.7
Masculin, Galati, Anul 2016, Procente, 10.5
Masculin, Galati, Anul 2017, Procente, 8.5
Masculin, Galati, Anul 2018, Procente, 6.6
Masculin, Galati, Anul 2019, Procente, 5.8
Masculin, Galati, Anul 2020, Procente, 6.7
Masculin, Galati, Anul 2021, Procente, 6.4
Masculin, Tulcea, Anul 1991, Procente, 5.5
Masculin, Tulcea, Anul 1992, Procente, 13
Masculin, Tulcea, Anul 1993, Procente, 12.7
Masculin, Tulcea, Anul 1994, Procente, 13.8
Masculin, Tulcea, Anul 1995, Procente, 9.2
Masculin, Tulcea, Anul 1996, Procente, 7.9
Masculin, Tulcea, Anul 1997, Procente, 11.6
Masculin, Tulcea, Anul 1998, Procente, 13.1
Masculin, Tulcea, Anul 1999, Procente, 13.6
Masculin, Tulcea, Anul 2000, Procente, 12
Masculin, Tulcea, Anul 2001, Procente, 10.3
Masculin, Tulcea, Anul 2002, Procente, 10.9
Masculin, Tulcea, Anul 2003, Procente, 10.1
Masculin, Tulcea, Anul 2004, Procente, 6.3
Masculin, Tulcea, Anul 2005, Procente, 7
Masculin, Tulcea, Anul 2006, Procente, 5.6
Masculin, Tulcea, Anul 2007, Procente, 4.2
Masculin, Tulcea, Anul 2008, Procente, 4.7
Masculin, Tulcea, Anul 2009, Procente, 9.3
Masculin, Tulcea, Anul 2010, Procente, 8.7
Masculin, Tulcea, Anul 2011, Procente, 6.1
Masculin, Tulcea, Anul 2012, Procente, 6.4
Masculin, Tulcea, Anul 2013, Procente, 6.6
Masculin, Tulcea, Anul 2014, Procente, 6.2
Masculin, Tulcea, Anul 2015, Procente, 6.3
Masculin, Tulcea, Anul 2016, Procente, 6.2
Masculin, Tulcea, Anul 2017, Procente, 5.5
Masculin, Tulcea, Anul 2018, Procente, 4
Masculin, Tulcea, Anul 2019, Procente, 3.4
Masculin, Tulcea, Anul 2020, Procente, 3
Masculin, Tulcea, Anul 2021, Procente, 3
Masculin, Vrancea, Anul 1991, Procente, 4.3
Masculin, Vrancea, Anul 1992, Procente, 10
Masculin, Vrancea, Anul 1993, Procente, 13.7
Masculin, Vrancea, Anul 1994, Procente, 11
Masculin, Vrancea, Anul 1995, Procente, 9
Masculin, Vrancea, Anul 1996, Procente, 6.4
Masculin, Vrancea, Anul 1997, Procente, 8.5
Masculin, Vrancea, Anul 1998, Procente, 10.3
Masculin, Vrancea, Anul 1999, Procente, 9
Masculin, Vrancea, Anul 2000, Procente, 7.7
Masculin, Vrancea, Anul 2001, Procente, 6.7
Masculin, Vrancea, Anul 2002, Procente, 7.6
Masculin, Vrancea, Anul 2003, Procente, 7.2
Masculin, Vrancea, Anul 2004, Procente, 5.4
Masculin, Vrancea, Anul 2005, Procente, 5
Masculin, Vrancea, Anul 2006, Procente, 5.3
Masculin, Vrancea, Anul 2007, Procente, 4.5
Masculin, Vrancea, Anul 2008, Procente, 5.1
Masculin, Vrancea, Anul 2009, Procente, 8.8
Masculin, Vrancea, Anul 2010, Procente, 8.8
Masculin, Vrancea, Anul 2011, Procente, 6.3
Masculin, Vrancea, Anul 2012, Procente, 6.5
Masculin, Vrancea, Anul 2013, Procente, 6.9
Masculin, Vrancea, Anul 2014, Procente, 7.2
Masculin, Vrancea, Anul 2015, Procente, 6.4
Masculin, Vrancea, Anul 2016, Procente, 6.5
Masculin, Vrancea, Anul 2017, Procente, 5.7
Masculin, Vrancea, Anul 2018, Procente, 4.4
Masculin, Vrancea, Anul 2019, Procente, 3.9
Masculin, Vrancea, Anul 2020, Procente, 4.5
Masculin, Vrancea, Anul 2021, Procente, 4.9
Masculin, Arges, Anul 1991, Procente, 1.3
Masculin, Arges, Anul 1992, Procente, 3.9
Masculin, Arges, Anul 1993, Procente, 6.2
Masculin, Arges, Anul 1994, Procente, 7.6
Masculin, Arges, Anul 1995, Procente, 6.5
Masculin, Arges, Anul 1996, Procente, 4.5
Masculin, Arges, Anul 1997, Procente, 4.7
Masculin, Arges, Anul 1998, Procente, 7.3
Masculin, Arges, Anul 1999, Procente, 10.7
Masculin, Arges, Anul 2000, Procente, 7.2
Masculin, Arges, Anul 2001, Procente, 6.8
Masculin, Arges, Anul 2002, Procente, 6.8
Masculin, Arges, Anul 2003, Procente, 6.6
Masculin, Arges, Anul 2004, Procente, 6.9
Masculin, Arges, Anul 2005, Procente, 5.3
Masculin, Arges, Anul 2006, Procente, 6.7
Masculin, Arges, Anul 2007, Procente, 4.9
Masculin, Arges, Anul 2008, Procente, 4.7
Masculin, Arges, Anul 2009, Procente, 10.1
Masculin, Arges, Anul 2010, Procente, 8
Masculin, Arges, Anul 2011, Procente, 6.1
Masculin, Arges, Anul 2012, Procente, 6.6
Masculin, Arges, Anul 2013, Procente, 7.5
Masculin, Arges, Anul 2014, Procente, 6.4
Masculin, Arges, Anul 2015, Procente, 5.6
Masculin, Arges, Anul 2016, Procente, 5.3
Masculin, Arges, Anul 2017, Procente, 4.2
Masculin, Arges, Anul 2018, Procente, 3.4
Masculin, Arges, Anul 2019, Procente, 3
Masculin, Arges, Anul 2020, Procente, 3.6
Masculin, Arges, Anul 2021, Procente, 3.4
Masculin, Calarasi, Anul 1991, Procente, 1.8
Masculin, Calarasi, Anul 1992, Procente, 5.7
Masculin, Calarasi, Anul 1993, Procente, 6.8
Masculin, Calarasi, Anul 1994, Procente, 6.3
Masculin, Calarasi, Anul 1995, Procente, 8.4
Masculin, Calarasi, Anul 1996, Procente, 4.8
Masculin, Calarasi, Anul 1997, Procente, 8.5
Masculin, Calarasi, Anul 1998, Procente, 12.8
Masculin, Calarasi, Anul 1999, Procente, 16
Masculin, Calarasi, Anul 2000, Procente, 15.3
Masculin, Calarasi, Anul 2001, Procente, 14
Masculin, Calarasi, Anul 2002, Procente, 14.4
Masculin, Calarasi, Anul 2003, Procente, 9.8
Masculin, Calarasi, Anul 2004, Procente, 11.3
Masculin, Calarasi, Anul 2005, Procente, 10.9
Masculin, Calarasi, Anul 2006, Procente, 8.5
Masculin, Calarasi, Anul 2007, Procente, 5.3
Masculin, Calarasi, Anul 2008, Procente, 6
Masculin, Calarasi, Anul 2009, Procente, 11.8
Masculin, Calarasi, Anul 2010, Procente, 10.6
Masculin, Calarasi, Anul 2011, Procente, 7.5
Masculin, Calarasi, Anul 2012, Procente, 8.7
Masculin, Calarasi, Anul 2013, Procente, 10
Masculin, Calarasi, Anul 2014, Procente, 10.1
Masculin, Calarasi, Anul 2015, Procente, 8.2
Masculin, Calarasi, Anul 2016, Procente, 8.7
Masculin, Calarasi, Anul 2017, Procente, 5.3
Masculin, Calarasi, Anul 2018, Procente, 4.4
Masculin, Calarasi, Anul 2019, Procente, 3.6
Masculin, Calarasi, Anul 2020, Procente, 4.3
Masculin, Calarasi, Anul 2021, Procente, 3.7
Masculin, Dambovita, Anul 1991, Procente, 2.3
Masculin, Dambovita, Anul 1992, Procente, 4
Masculin, Dambovita, Anul 1993, Procente, 7
Masculin, Dambovita, Anul 1994, Procente, 9.8
Masculin, Dambovita, Anul 1995, Procente, 9.2
Masculin, Dambovita, Anul 1996, Procente, 6.7
Masculin, Dambovita, Anul 1997, Procente, 8.9
Masculin, Dambovita, Anul 1998, Procente, 10.3
Masculin, Dambovita, Anul 1999, Procente, 12.8
Masculin, Dambovita, Anul 2000, Procente, 11.3
Masculin, Dambovita, Anul 2001, Procente, 9.5
Masculin, Dambovita, Anul 2002, Procente, 9.3
Masculin, Dambovita, Anul 2003, Procente, 6.6
Masculin, Dambovita, Anul 2004, Procente, 7.3
Masculin, Dambovita, Anul 2005, Procente, 8
Masculin, Dambovita, Anul 2006, Procente, 6.7
Masculin, Dambovita, Anul 2007, Procente, 5.3
Masculin, Dambovita, Anul 2008, Procente, 5.4
Masculin, Dambovita, Anul 2009, Procente, 9
Masculin, Dambovita, Anul 2010, Procente, 8.9
Masculin, Dambovita, Anul 2011, Procente, 6.5
Masculin, Dambovita, Anul 2012, Procente, 7.6
Masculin, Dambovita, Anul 2013, Procente, 8.5
Masculin, Dambovita, Anul 2014, Procente, 8.3
Masculin, Dambovita, Anul 2015, Procente, 7.2
Masculin, Dambovita, Anul 2016, Procente, 6.9
Masculin, Dambovita, Anul 2017, Procente, 5
Masculin, Dambovita, Anul 2018, Procente, 3.8
Masculin, Dambovita, Anul 2019, Procente, 3.1
Masculin, Dambovita, Anul 2020, Procente, 2.8
Masculin, Dambovita, Anul 2021, Procente, 2.4
Masculin, Giurgiu, Anul 1991, Procente, 2.8
Masculin, Giurgiu, Anul 1992, Procente, 7.2
Masculin, Giurgiu, Anul 1993, Procente, 11.2
Masculin, Giurgiu, Anul 1994, Procente, 5.7
Masculin, Giurgiu, Anul 1995, Procente, 6.2
Masculin, Giurgiu, Anul 1996, Procente, 4
Masculin, Giurgiu, Anul 1997, Procente, 6.3
Masculin, Giurgiu, Anul 1998, Procente, 7.6
Masculin, Giurgiu, Anul 1999, Procente, 10.1
Masculin, Giurgiu, Anul 2000, Procente, 9.5
Masculin, Giurgiu, Anul 2001, Procente, 7.8
Masculin, Giurgiu, Anul 2002, Procente, 9
Masculin, Giurgiu, Anul 2003, Procente, 8.7
Masculin, Giurgiu, Anul 2004, Procente, 8.4
Masculin, Giurgiu, Anul 2005, Procente, 6.5
Masculin, Giurgiu, Anul 2006, Procente, 6.5
Masculin, Giurgiu, Anul 2007, Procente, 4.7
Masculin, Giurgiu, Anul 2008, Procente, 4.3
Masculin, Giurgiu, Anul 2009, Procente, 8.3
Masculin, Giurgiu, Anul 2010, Procente, 9.6
Masculin, Giurgiu, Anul 2011, Procente, 6.2
Masculin, Giurgiu, Anul 2012, Procente, 6.4
Masculin, Giurgiu, Anul 2013, Procente, 6.8
Masculin, Giurgiu, Anul 2014, Procente, 7.1
Masculin, Giurgiu, Anul 2015, Procente, 6.6
Masculin, Giurgiu, Anul 2016, Procente, 6
Masculin, Giurgiu, Anul 2017, Procente, 3.3
Masculin, Giurgiu, Anul 2018, Procente, 1.9
Masculin, Giurgiu, Anul 2019, Procente, 1.8
Masculin, Giurgiu, Anul 2020, Procente, 2.2
Masculin, Giurgiu, Anul 2021, Procente, 2.6
Masculin, Ialomita, Anul 1991, Procente, 2.9
Masculin, Ialomita, Anul 1992, Procente, 7
Masculin, Ialomita, Anul 1993, Procente, 7.9
Masculin, Ialomita, Anul 1994, Procente, 8.9
Masculin, Ialomita, Anul 1995, Procente, 8
Masculin, Ialomita, Anul 1996, Procente, 5.8
Masculin, Ialomita, Anul 1997, Procente, 11.1
Masculin, Ialomita, Anul 1998, Procente, 13.9
Masculin, Ialomita, Anul 1999, Procente, 14.3
Masculin, Ialomita, Anul 2000, Procente, 15
Masculin, Ialomita, Anul 2001, Procente, 16.4
Masculin, Ialomita, Anul 2002, Procente, 13.9
Masculin, Ialomita, Anul 2003, Procente, 11.5
Masculin, Ialomita, Anul 2004, Procente, 11.9
Masculin, Ialomita, Anul 2005, Procente, 13.6
Masculin, Ialomita, Anul 2006, Procente, 10.6
Masculin, Ialomita, Anul 2007, Procente, 7.5
Masculin, Ialomita, Anul 2008, Procente, 5.3
Masculin, Ialomita, Anul 2009, Procente, 13.1
Masculin, Ialomita, Anul 2010, Procente, 11.9
Masculin, Ialomita, Anul 2011, Procente, 9
Masculin, Ialomita, Anul 2012, Procente, 9.3
Masculin, Ialomita, Anul 2013, Procente, 9
Masculin, Ialomita, Anul 2014, Procente, 9.8
Masculin, Ialomita, Anul 2015, Procente, 8.9
Masculin, Ialomita, Anul 2016, Procente, 9
Masculin, Ialomita, Anul 2017, Procente, 7.4
Masculin, Ialomita, Anul 2018, Procente, 6.1
Masculin, Ialomita, Anul 2019, Procente, 4.7
Masculin, Ialomita, Anul 2020, Procente, 5
Masculin, Ialomita, Anul 2021, Procente, 5.3
Masculin, Prahova, Anul 1991, Procente, .8
Masculin, Prahova, Anul 1992, Procente, 3
Masculin, Prahova, Anul 1993, Procente, 4.1
Masculin, Prahova, Anul 1994, Procente, 5.6
Masculin, Prahova, Anul 1995, Procente, 5.8
Masculin, Prahova, Anul 1996, Procente, 3.6
Masculin, Prahova, Anul 1997, Procente, 8.5
Masculin, Prahova, Anul 1998, Procente, 11.8
Masculin, Prahova, Anul 1999, Procente, 14.3
Masculin, Prahova, Anul 2000, Procente, 12.8
Masculin, Prahova, Anul 2001, Procente, 9.7
Masculin, Prahova, Anul 2002, Procente, 9.8
Masculin, Prahova, Anul 2003, Procente, 10.6
Masculin, Prahova, Anul 2004, Procente, 7
Masculin, Prahova, Anul 2005, Procente, 6.6
Masculin, Prahova, Anul 2006, Procente, 5.2
Masculin, Prahova, Anul 2007, Procente, 3.5
Masculin, Prahova, Anul 2008, Procente, 3.2
Masculin, Prahova, Anul 2009, Procente, 9.1
Masculin, Prahova, Anul 2010, Procente, 8.5
Masculin, Prahova, Anul 2011, Procente, 5.5
Masculin, Prahova, Anul 2012, Procente, 5.5
Masculin, Prahova, Anul 2013, Procente, 6
Masculin, Prahova, Anul 2014, Procente, 5.2
Masculin, Prahova, Anul 2015, Procente, 4.3
Masculin, Prahova, Anul 2016, Procente, 4.5
Masculin, Prahova, Anul 2017, Procente, 3
Masculin, Prahova, Anul 2018, Procente, 2.3
Masculin, Prahova, Anul 2019, Procente, 2.1
Masculin, Prahova, Anul 2020, Procente, 2.4
Masculin, Prahova, Anul 2021, Procente, 1.9
Masculin, Teleorman, Anul 1991, Procente, 2.6
Masculin, Teleorman, Anul 1992, Procente, 4.9
Masculin, Teleorman, Anul 1993, Procente, 7.5
Masculin, Teleorman, Anul 1994, Procente, 8.9
Masculin, Teleorman, Anul 1995, Procente, 9
Masculin, Teleorman, Anul 1996, Procente, 6.4
Masculin, Teleorman, Anul 1997, Procente, 9.3
Masculin, Teleorman, Anul 1998, Procente, 9.2
Masculin, Teleorman, Anul 1999, Procente, 10.5
Masculin, Teleorman, Anul 2000, Procente, 9.5
Masculin, Teleorman, Anul 2001, Procente, 8.4
Masculin, Teleorman, Anul 2002, Procente, 11.8
Masculin, Teleorman, Anul 2003, Procente, 12.3
Masculin, Teleorman, Anul 2004, Procente, 9.5
Masculin, Teleorman, Anul 2005, Procente, 10.8
Masculin, Teleorman, Anul 2006, Procente, 10.2
Masculin, Teleorman, Anul 2007, Procente, 8.4
Masculin, Teleorman, Anul 2008, Procente, 9
Masculin, Teleorman, Anul 2009, Procente, 14.1
Masculin, Teleorman, Anul 2010, Procente, 13.2
Masculin, Teleorman, Anul 2011, Procente, 11
Masculin, Teleorman, Anul 2012, Procente, 11.8
Masculin, Teleorman, Anul 2013, Procente, 12.9
Masculin, Teleorman, Anul 2014, Procente, 13.4
Masculin, Teleorman, Anul 2015, Procente, 13.8
Masculin, Teleorman, Anul 2016, Procente, 13.2
Masculin, Teleorman, Anul 2017, Procente, 12.3
Masculin, Teleorman, Anul 2018, Procente, 9.1
Masculin, Teleorman, Anul 2019, Procente, 7.1
Masculin, Teleorman, Anul 2020, Procente, 7.2
Masculin, Teleorman, Anul 2021, Procente, 8.7
Masculin, Ilfov, Anul 1997, Procente, 3.8
Masculin, Ilfov, Anul 1998, Procente, 4.1
Masculin, Ilfov, Anul 1999, Procente, 5.8
Masculin, Ilfov, Anul 2000, Procente, 6.3
Masculin, Ilfov, Anul 2001, Procente, 4.5
Masculin, Ilfov, Anul 2002, Procente, 4.9
Masculin, Ilfov, Anul 2003, Procente, 4.1
Masculin, Ilfov, Anul 2004, Procente, 4.2
Masculin, Ilfov, Anul 2005, Procente, 2
Masculin, Ilfov, Anul 2006, Procente, 1.7
Masculin, Ilfov, Anul 2007, Procente, 1.1
Masculin, Ilfov, Anul 2008, Procente, 1
Masculin, Ilfov, Anul 2009, Procente, 2.3
Masculin, Ilfov, Anul 2010, Procente, 2.6
Masculin, Ilfov, Anul 2011, Procente, 1.5
Masculin, Ilfov, Anul 2012, Procente, 1.6
Masculin, Ilfov, Anul 2013, Procente, 1.8
Masculin, Ilfov, Anul 2014, Procente, 1.4
Masculin, Ilfov, Anul 2015, Procente, 1.1
Masculin, Ilfov, Anul 2016, Procente, 1
Masculin, Ilfov, Anul 2017, Procente, .6
Masculin, Ilfov, Anul 2018, Procente, .5
Masculin, Ilfov, Anul 2019, Procente, .3
Masculin, Ilfov, Anul 2020, Procente, .5
Masculin, Ilfov, Anul 2021, Procente, .2
Masculin, Municipiul Bucuresti, Anul 1991, Procente, .9
Masculin, Municipiul Bucuresti, Anul 1997, Procente, 3.9
Masculin, Municipiul Bucuresti, Anul 1998, Procente, 3.8
Masculin, Municipiul Bucuresti, Anul 1999, Procente, 6
Masculin, Municipiul Bucuresti, Anul 2000, Procente, 4.7
Masculin, Municipiul Bucuresti, Anul 2001, Procente, 3.8
Masculin, Municipiul Bucuresti, Anul 2002, Procente, 2.4
Masculin, Municipiul Bucuresti, Anul 2003, Procente, 2.2
Masculin, Municipiul Bucuresti, Anul 2004, Procente, 2.2
Masculin, Municipiul Bucuresti, Anul 2005, Procente, 2
Masculin, Municipiul Bucuresti, Anul 2006, Procente, 2
Masculin, Municipiul Bucuresti, Anul 2007, Procente, 1.4
Masculin, Municipiul Bucuresti, Anul 2008, Procente, 1.3
Masculin, Municipiul Bucuresti, Anul 2009, Procente, 2.3
Masculin, Municipiul Bucuresti, Anul 2010, Procente, 2.3
Masculin, Municipiul Bucuresti, Anul 2011, Procente, 1.9
Masculin, Municipiul Bucuresti, Anul 2012, Procente, 1.8
Masculin, Municipiul Bucuresti, Anul 2013, Procente, 1.9
Masculin, Municipiul Bucuresti, Anul 2014, Procente, 1.9
Masculin, Municipiul Bucuresti, Anul 2015, Procente, 1.7
Masculin, Municipiul Bucuresti, Anul 2016, Procente, 1.4
Masculin, Municipiul Bucuresti, Anul 2017, Procente, 1.5
Masculin, Municipiul Bucuresti, Anul 2018, Procente, 1.2
Masculin, Municipiul Bucuresti, Anul 2019, Procente, 1.1
Masculin, Municipiul Bucuresti, Anul 2020, Procente, 1.1
Masculin, Municipiul Bucuresti, Anul 2021, Procente, 1.1
Masculin, Dolj, Anul 1991, Procente, 3.1
Masculin, Dolj, Anul 1992, Procente, 8.1
Masculin, Dolj, Anul 1993, Procente, 12.2
Masculin, Dolj, Anul 1994, Procente, 12.3
Masculin, Dolj, Anul 1995, Procente, 12.1
Masculin, Dolj, Anul 1996, Procente, 7.2
Masculin, Dolj, Anul 1997, Procente, 7.2
Masculin, Dolj, Anul 1998, Procente, 8.9
Masculin, Dolj, Anul 1999, Procente, 12.4
Masculin, Dolj, Anul 2000, Procente, 13.3
Masculin, Dolj, Anul 2001, Procente, 12.3
Masculin, Dolj, Anul 2002, Procente, 7.5
Masculin, Dolj, Anul 2003, Procente, 8.5
Masculin, Dolj, Anul 2004, Procente, 6.5
Masculin, Dolj, Anul 2005, Procente, 7.4
Masculin, Dolj, Anul 2006, Procente, 7.7
Masculin, Dolj, Anul 2007, Procente, 4.9
Masculin, Dolj, Anul 2008, Procente, 8.4
Masculin, Dolj, Anul 2009, Procente, 12.5
Masculin, Dolj, Anul 2010, Procente, 10.7
Masculin, Dolj, Anul 2011, Procente, 9.6
Masculin, Dolj, Anul 2012, Procente, 10.5
Masculin, Dolj, Anul 2013, Procente, 10.7
Masculin, Dolj, Anul 2014, Procente, 10.5
Masculin, Dolj, Anul 2015, Procente, 10.2
Masculin, Dolj, Anul 2016, Procente, 10.8
Masculin, Dolj, Anul 2017, Procente, 9.5
Masculin, Dolj, Anul 2018, Procente, 7.9
Masculin, Dolj, Anul 2019, Procente, 7.2
Masculin, Dolj, Anul 2020, Procente, 7.3
Masculin, Dolj, Anul 2021, Procente, 7
Masculin, Gorj, Anul 1991, Procente, .4
Masculin, Gorj, Anul 1992, Procente, 1.6
Masculin, Gorj, Anul 1993, Procente, 1.5
Masculin, Gorj, Anul 1994, Procente, 1.9
Masculin, Gorj, Anul 1995, Procente, 2
Masculin, Gorj, Anul 1996, Procente, 1.5
Masculin, Gorj, Anul 1997, Procente, 9.4
Masculin, Gorj, Anul 1998, Procente, 12.8
Masculin, Gorj, Anul 1999, Procente, 13.8
Masculin, Gorj, Anul 2000, Procente, 13.1
Masculin, Gorj, Anul 2001, Procente, 10.2
Masculin, Gorj, Anul 2002, Procente, 10.2
Masculin, Gorj, Anul 2003, Procente, 9.5
